strategy,length_km,buffer_hours,storage_cost_2023_usd_per_kg,annual_delivered_kg,required_buffer_kg,diameter_in,stations,segment_length_km,q_bar_a,draft_inlet_bar_a,pressure_swing_bar,raw_linepack_kg,credited_linepack_kg,external_storage_kg,gathering_stages,gathering_rating_unit_kw,enroute_stages,enroute_rating_unit_kw,compressor_capex_2018_usd,full_year_energy_kwh,pipeline_capex_2023_usd,compressor_capex_2023_usd,storage_capex_2023_usd,pipeline_lcot_2023_usd_per_kg,compressor_lcot_2023_usd_per_kg,electricity_lcot_2023_usd_per_kg,storage_lcot_2023_usd_per_kg,lcot_2023_usd_per_kg,annual_cost_2023_usd,service_closure_kg,infrastructure_response,uses_linepack,delta_embedded_2023_usd_per_kg,delta_redesign_2023_usd_per_kg,delta_joint_vs_external_storage_only_2023_usd_per_kg,joint_saving_vs_external_storage_only_percent
External storage only,1200.0,12.0,600.0,500000000.0,684931.506849315,30.0,0,1200.0,,,0.0,0.0,0.0,684931.506849315,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,410958904.109589,0.26801830995467557,0.008101605864454974,0.063213201801047,0.0821917808219178,0.4215248984420953,210762449.22104764,0.0,Transport assets retained,False,0.06289510457292657,0.0,0.06289510457292657,14.920851604585927
Linepack without redesign,1200.0,12.0,600.0,500000000.0,684931.506849315,30.0,0,1200.0,21.01325,61.851806197436495,11.97194024252829,524125.87144105503,524125.87144105503,160805.63540826,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,96483381.24495599,0.26801830995467557,0.008101605864454974,0.063213201801047,0.019296676248991198,0.3586297938691687,179314896.93458435,0.0,Transport assets retained,True,0.06289510457292657,0.0,0.06289510457292657,14.920851604585927
Joint design,1200.0,12.0,600.0,500000000.0,684931.506849315,30.0,0,1200.0,21.01325,61.851806197436495,11.97194024252829,524125.87144105503,524125.87144105503,160805.63540826,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,96483381.24495599,0.26801830995467557,0.008101605864454974,0.063213201801047,0.019296676248991198,0.3586297938691687,179314896.93458435,0.0,Transport assets retained,True,0.06289510457292657,0.0,0.06289510457292657,14.920851604585927
External storage only,1200.0,15.0,600.0,500000000.0,856164.3835616438,30.0,0,1200.0,,,0.0,0.0,0.0,856164.3835616438,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,513698630.13698626,0.26801830995467557,0.008101605864454974,0.063213201801047,0.10273972602739725,0.44207284364757476,221036421.8237874,0.0,Transport assets retained,False,0.06289510457292663,0.01387011048860598,0.07676521506153261,17.36483391020749
Linepack without redesign,1200.0,15.0,600.0,500000000.0,856164.3835616438,30.0,0,1200.0,21.01325,61.851806197436495,11.97194024252829,524125.87144105503,524125.87144105503,332038.51212058874,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,199223107.27235323,0.26801830995467557,0.008101605864454974,0.063213201801047,0.03984462145447065,0.37917773907464813,189588869.53732407,0.0,Transport assets retained,True,0.06289510457292663,0.01387011048860598,0.07676521506153261,17.36483391020749
Joint design,1200.0,15.0,600.0,500000000.0,856164.3835616438,30.0,1,600.0,34.66716428630524,53.794580645405624,19.556273394282904,856164.3833224992,856164.3833224992,0.00023914454504847527,2,19817.671124984532,1,7056.795521247889,28351301.53011517,409426657.07999307,1276277666.450836,41016949.392414756,0.14348672702908516,0.26801830995467557,0.011566779728660962,0.08572253887400823,2.8697345405817032e-11,0.36530762858604215,182653814.29302108,0.0,Station-count change,True,0.06289510457292663,0.01387011048860598,0.07676521506153261,17.36483391020749
External storage only,1200.0,18.0,600.0,500000000.0,1027397.2602739725,30.0,0,1200.0,,,0.0,0.0,0.0,1027397.2602739725,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,616438356.1643835,0.26801830995467557,0.008101605864454974,0.063213201801047,0.12328767123287672,0.46262078885305424,231310394.4265271,0.0,Transport assets retained,False,0.06289510457292657,0.028330533047715212,0.09122563762064179,19.719312192349072
Linepack without redesign,1200.0,18.0,600.0,500000000.0,1027397.2602739725,30.0,0,1200.0,21.01325,61.851806197436495,11.97194024252829,524125.87144105503,524125.87144105503,503271.3888329175,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,301962833.2997505,0.26801830995467557,0.008101605864454974,0.063213201801047,0.06039256665995011,0.39972568428012767,199862842.14006382,0.0,Transport assets retained,True,0.06289510457292657,0.028330533047715212,0.09122563762064179,19.719312192349072
Joint design,1200.0,18.0,600.0,500000000.0,1027397.2602739725,30.0,1,600.0,29.529239888929347,50.636159368373384,23.46752807929259,1027397.2602563791,1027397.2602563791,1.759338192641735e-05,2,19817.671124984532,1,8754.509073539728,29999074.32617029,435290953.9809957,1276277666.450836,43400847.47604239,0.01055602915585041,0.26801830995467557,0.012239038988243954,0.09113780228738169,2.1112058311700822e-12,0.37139515123241246,185697575.61620623,0.0,Station-count change,True,0.06289510457292657,0.028330533047715212,0.09122563762064179,19.719312192349072
External storage only,1200.0,21.0,600.0,500000000.0,1198630.1369863013,30.0,0,1200.0,,,0.0,0.0,0.0,1198630.1369863013,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,719178082.1917808,0.26801830995467557,0.008101605864454974,0.063213201801047,0.14383561643835616,0.48316873405853367,241584367.02926683,0.0,Transport assets retained,False,0.06289510457292663,0.039710217872622244,0.10260532244554887,21.235919299595803
