q_grid_points,external_storage_only_lcot_2023_usd_per_kg,linepack_without_redesign_lcot_2023_usd_per_kg,linepack_without_redesign_q_bar_a,linepack_without_redesign_credited_linepack_kg,linepack_without_redesign_external_storage_kg,joint_design_lcot_2023_usd_per_kg,joint_design_diameter_in,joint_design_stations,joint_design_q_bar_a,joint_design_credited_linepack_kg,joint_design_external_storage_kg
41,0.8324838025516844,0.7695886979787577,21.01325,524125.87144105503,3585463.169654835,0.4734335831003731,42.0,4,21.278639881217984,4109589.0403727633,0.0007231268100440502
81,0.8324838025516844,0.7695886979787577,21.01325,524125.87144105503,3585463.169654835,0.4734335831003731,42.0,4,21.278639881217984,4109589.0403727633,0.0007231268100440502
121,0.8324838025516844,0.7695886979787577,21.01325,524125.87144105503,3585463.169654835,0.4734335831003731,42.0,4,21.278639881217984,4109589.0403727633,0.0007231268100440502
241,0.8324838025516844,0.7695886979787577,21.01325,524125.87144105503,3585463.169654835,0.4734335831003731,42.0,4,21.278639881217984,4109589.0403727633,0.0007231268100440502
481,0.8324838025516844,0.7695886979787577,21.01325,524125.87144105503,3585463.169654835,0.4734335831003731,42.0,4,21.278639881217984,4109589.0403727633,0.0007231268100440502
