strategy,length_km,buffer_hours,storage_cost_2023_usd_per_kg,annual_delivered_kg,required_buffer_kg,diameter_in,stations,segment_length_km,q_bar_a,draft_inlet_bar_a,pressure_swing_bar,raw_linepack_kg,credited_linepack_kg,external_storage_kg,gathering_stages,gathering_rating_unit_kw,enroute_stages,enroute_rating_unit_kw,compressor_capex_2018_usd,full_year_energy_kwh,pipeline_capex_2023_usd,compressor_capex_2023_usd,storage_capex_2023_usd,pipeline_lcot_2023_usd_per_kg,compressor_lcot_2023_usd_per_kg,electricity_lcot_2023_usd_per_kg,storage_lcot_2023_usd_per_kg,lcot_2023_usd_per_kg,annual_cost_2023_usd,service_closure_kg,infrastructure_response,uses_linepack,delta_embedded_2023_usd_per_kg,delta_redesign_2023_usd_per_kg,delta_joint_vs_external_storage_only_2023_usd_per_kg,joint_saving_vs_external_storage_only_percent
External storage only,1200.0,72.0,600.0,500000000.0,4109589.04109589,30.0,0,1200.0,,,0.0,0.0,0.0,4109589.04109589,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,2465753424.657534,0.26801830995467557,0.008101605864454974,0.063213201801047,0.4931506849315069,0.8324838025516844,416241901.2758422,0.0,Transport assets retained,False,0.06289510457292669,0.29615511487838464,0.3590502194513113,43.129994643832106
Linepack without redesign,1200.0,72.0,600.0,500000000.0,4109589.04109589,30.0,0,1200.0,21.01325,61.851806197436495,11.97194024252829,524125.87144105503,524125.87144105503,3585463.169654835,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,2151277901.792901,0.26801830995467557,0.008101605864454974,0.063213201801047,0.43025558035858025,0.7695886979787577,384794348.98937887,0.0,Transport assets retained,True,0.06289510457292669,0.29615511487838464,0.3590502194513113,43.129994643832106
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,4,240.0,21.278639881217984,24.008007952562476,47.89291443992875,4109589.0403727633,4109589.0403727633,0.0007231268100440502,2,19817.671124984532,1,1839.6240564040556,31101427.226072162,414023001.723935,1781237714.5235832,44995665.02118502,0.43387608602643013,0.37405992004995253,0.012688777535974177,0.08668488542767112,8.677521720528602e-11,0.4734335831003731,236716791.55018654,0.0,Diameter change,True,0.06289510457292669,0.29615511487838464,0.3590502194513113,43.129994643832106
