annual_delivered_kg,length_km,diameter_in,stations,segment_length_km,pack_outlet_bar_a,pack_average_bar_a,gathering_stages,gathering_rating_unit_kw,enroute_stages,enroute_rating_unit_kw,pipeline_capex_2018_usd,compressor_capex_2018_usd,full_year_energy_kwh,transport_lcot_2023_usd_per_kg,transport_selected
500000000.0,400.0,16.0,6,57.142857142857146,29.833183933650684,53.2258244811783,2,19817.671124984532,2,13866.81369512494,202963028.68833828,108682357.97674298,1569465264.122837,0.43460587799036415,False
500000000.0,400.0,16.0,7,50.0,37.53833660555521,55.99628071004968,2,19817.671124984532,1,10567.008891227782,202963028.68833828,102729188.00959364,1428820494.3738298,0.40273000277686133,False
500000000.0,400.0,18.0,3,100.0,32.88662562397874,54.281733170389735,2,19817.671124984532,2,12251.005528947002,227756821.4173108,59967427.79922898,861842129.3140725,0.27410729138056195,False
500000000.0,400.0,18.0,4,80.0,43.287416775061644,58.271239400455926,2,19817.671124984532,1,8066.449983145484,227756821.4173108,57781651.88259353,793480359.068317,0.2589024865930476,False
500000000.0,400.0,18.0,5,66.66666666666667,49.01000566355803,60.68391804566651,2,19817.671124984532,1,5955.901381975876,227756821.4173108,56795552.57237021,755602225.3659266,0.25056955101230655,False
500000000.0,400.0,18.0,6,57.142857142857146,52.71861369087561,62.316763867332206,2,19817.671124984532,1,4744.52145615062,227756821.4173108,56622045.65546404,735608429.2002454,0.24631261950283181,False
500000000.0,400.0,18.0,7,50.0,55.3372018649942,63.499375261478235,2,19817.671124984532,1,3950.8610072025726,227756821.4173108,56754128.48468885,723251471.3330892,0.2437793039103682,False
500000000.0,400.0,20.0,2,133.33333333333334,44.38686778386747,58.7239807670214,2,19817.671124984532,1,7635.078268198962,221675400.49011618,37981652.85810291,534555426.6325397,0.19476517381848008,False
500000000.0,400.0,20.0,3,100.0,52.32939845476464,62.14302685543749,2,19817.671124984532,1,4866.638495561618,221675400.49011618,38628202.82889719,524344449.94473714,0.1928910595061889,False
500000000.0,400.0,20.0,4,80.0,56.56208172638733,64.06049324767078,2,19817.671124984532,1,3595.365112177299,221675400.49011618,39368147.391087726,521016334.9314036,0.19249612790819712,False
500000000.0,400.0,20.0,5,66.66666666666667,59.21602699955913,65.29275317277354,2,19817.671124984532,1,2856.6942983768404,221675400.49011618,40042594.37388021,519523494.47612196,0.19245872994885402,False
500000000.0,400.0,20.0,6,57.142857142857146,61.041097159721126,66.15268229957678,2,19817.671124984532,1,2372.038651530497,221675400.49011618,40644964.86545423,518742870.5727086,0.19254104449234352,False
500000000.0,400.0,20.0,7,50.0,62.37486520306086,66.7872964079343,2,19817.671124984532,1,2029.0274653361262,221675400.49011618,41185730.05717695,518300457.79004484,0.19266903726043966,False
500000000.0,400.0,24.0,0,400.0,37.71235051587087,56.062721744059566,2,19817.671124984532,0,0.0,264434361.0508174,19857823.53684561,301917911.39976436,0.15165401419527352,True
500000000.0,400.0,24.0,1,200.0,56.85553208349389,64.195649723417,2,19817.671124984532,1,3511.6063726296784,264434361.0508174,24641749.10034794,355416471.0940878,0.16480687118949347,False
500000000.0,400.0,24.0,2,133.33333333333334,61.9354091845069,66.57763663119727,2,19817.671124984532,1,2141.0358235523518,264434361.0508174,26226864.629289072,367154342.05826384,0.16791115076586258,False
500000000.0,400.0,24.0,3,100.0,64.32508532469934,67.72425373806823,2,19817.671124984532,1,1543.4570579563533,264434361.0508174,27156832.42614311,372460609.63123035,0.16940154418623615,False
