annual_delivery_mt_per_year,length_km,buffer_hours,storage_cost_2023_usd_per_kg,transport_diameter_in,transport_stations,joint_design_diameter_in,joint_design_stations,joint_design_infrastructure_response,external_storage_only_lcot_2023_usd_per_kg,linepack_without_redesign_lcot_2023_usd_per_kg,joint_design_lcot_2023_usd_per_kg,delta_embedded_2023_usd_per_kg,delta_redesign_2023_usd_per_kg
1.0,400.0,12.0,200.0,30.0,0,42.0,0,Diameter change,0.14499967210130948,0.14457728414854107,0.1417862205920957,0.000422387952768416,0.0027910635564453723
1.0,400.0,24.0,200.0,30.0,0,42.0,0,Diameter change,0.17239693237528209,0.17197454442251367,0.1691834808660683,0.000422387952768416,0.0027910635564453723
1.0,400.0,36.0,200.0,30.0,0,42.0,0,Diameter change,0.1997941926492547,0.19937180469648627,0.1965807411400409,0.000422387952768416,0.0027910635564453723
1.0,400.0,48.0,200.0,30.0,0,42.0,0,Diameter change,0.2271914529232273,0.22676906497045887,0.2239780014140135,0.000422387952768416,0.0027910635564453723
1.0,400.0,72.0,200.0,30.0,0,42.0,0,Diameter change,0.28198597347117244,0.2815635855184041,0.27877252196195873,0.00042238795276833274,0.0027910635564453723
1.0,800.0,0.0,200.0,36.0,0,36.0,0,Transport assets retained,0.1876878656035758,0.1876878656035758,0.1876878656035758,0.0,0.0
1.0,800.0,6.0,200.0,36.0,0,36.0,0,Transport assets retained,0.20138649574056208,0.19196666024601483,0.19196666024601483,0.009419835494547252,0.0
1.0,800.0,12.0,200.0,36.0,0,42.0,0,Diameter change,0.21508512587754838,0.20566529038300116,0.19770310216134107,0.009419835494547224,0.007962188221660088
1.0,800.0,24.0,200.0,36.0,0,42.0,0,Diameter change,0.24248238615152098,0.23306255065697376,0.21758261551711053,0.009419835494547224,0.015479935139863232
1.0,800.0,36.0,200.0,36.0,0,42.0,0,Diameter change,0.2698796464254936,0.26045981093094633,0.24497987579108316,0.00941983549454728,0.015479935139863177
1.0,800.0,48.0,200.0,36.0,0,42.0,0,Diameter change,0.2972769066994662,0.287857071204919,0.2723771360650557,0.009419835494547224,0.015479935139863288
1.0,800.0,72.0,200.0,36.0,0,42.0,0,Diameter change,0.35207142724741136,0.34265159175286414,0.3271716566130009,0.009419835494547224,0.015479935139863232
1.0,1200.0,0.0,200.0,42.0,0,42.0,0,Transport assets retained,0.2562139914054021,0.2562139914054021,0.2562139914054021,0.0,0.0
1.0,1200.0,6.0,200.0,42.0,0,42.0,0,Transport assets retained,0.2699126215423884,0.2562139914054021,0.2562139914054021,0.0136986301369863,0.0
1.0,1200.0,12.0,200.0,42.0,0,42.0,0,Transport assets retained,0.2836112516793747,0.2562139914054021,0.2562139914054021,0.0273972602739726,0.0
1.0,1200.0,24.0,200.0,42.0,0,42.0,0,Transport assets retained,0.3110085119533473,0.2727978210361129,0.2727978210361129,0.03821069091723439,0.0
1.0,1200.0,36.0,200.0,42.0,0,42.0,0,Transport assets retained,0.3384057722273198,0.30019508131008554,0.30019508131008554,0.03821069091723428,0.0
1.0,1200.0,48.0,200.0,42.0,0,42.0,0,Transport assets retained,0.3658030325012925,0.3275923415840581,0.3275923415840581,0.03821069091723439,0.0
1.0,1200.0,72.0,200.0,42.0,0,42.0,0,Transport assets retained,0.4205975530492377,0.3823868621320033,0.3823868621320033,0.03821069091723439,0.0
1.0,1600.0,0.0,200.0,42.0,0,42.0,0,Transport assets retained,0.31334505845721794,0.31334505845721794,0.31334505845721794,0.0,0.0
1.0,1600.0,6.0,200.0,42.0,0,42.0,0,Transport assets retained,0.32704368859420424,0.31334505845721794,0.31334505845721794,0.0136986301369863,0.0
1.0,1600.0,12.0,200.0,42.0,0,42.0,0,Transport assets retained,0.34074231873119054,0.3133450584657413,0.3133450584657413,0.027397260265449253,0.0
1.0,1600.0,24.0,200.0,42.0,0,42.0,0,Transport assets retained,0.36813957900516314,0.3354917287086336,0.3354917287086336,0.03264785029652956,0.0
